Game_id,Local_team_id,Visitor_team_id,Visitor_WL,Local_WL,Visitor_FgPct,Local_FgPct,Visitor_FG3aPct,Local_FG3aPct,Visitor_FtPct,Local_FtPct,Visitor_AST,Local_AST,Visitor_OREB,Local_OREB,Visitor_DREB,Local_DREB,Visitor_STL,Local_STL,Visitor_BLK,Local_BLK,Visitor_PF,Local_PF,Visitor_PTS,Local_PTS
22400190,1610612742,1610612756,W,L,0.5,0.513,0.385,0.333,0.722,0.909,26,18,11,8,26,31,6,5,2,1,18,22,114,113
22400191,1610612763,1610612764,L,W,0.409,0.474,0.257,0.326,0.826,0.88,27,30,11,13,30,37,14,10,8,10,27,19,104,128
22400192,1610612760,1610612745,L,W,0.433,0.511,0.367,0.378,0.692,0.87,19,24,14,7,34,34,7,9,3,8,18,23,107,126
22400193,1610612750,1610612757,L,W,0.429,0.485,0.24,0.44,0.75,0.786,13,32,12,10,25,39,11,9,7,7,17,21,102,127
22400194,1610612743,1610612748,L,W,0.489,0.617,0.465,0.514,0.769,0.895,33,37,9,6,24,33,11,5,1,5,19,13,122,135
22400195,1610612747,1610612755,L,W,0.406,0.518,0.333,0.457,0.652,0.857,28,28,13,5,31,40,6,1,4,13,14,17,106,116
22400196,1610612758,1610612746,W,L,0.444,0.474,0.467,0.115,0.913,0.875,20,19,12,5,36,30,7,6,2,3,21,19,107,98
22400197,1610612759,1610612762,W,L,0.463,0.447,0.303,0.362,0.714,0.895,23,29,9,6,36,31,13,8,4,10,20,26,111,110
22400198,1610612737,1610612741,W,L,0.5,0.461,0.333,0.31,0.87,0.733,30,31,13,10,34,29,12,8,6,5,18,19,125,113
22400199,1610612739,1610612751,L,W,0.447,0.541,0.349,0.357,0.944,0.789,21,24,10,4,26,29,4,12,2,5,14,18,100,105
22400200,1610612746,1610612761,L,W,0.421,0.461,0.297,0.385,0.571,0.781,26,18,12,7,32,40,8,6,5,8,23,20,103,105
22400201,1610612765,1610612745,W,L,0.409,0.429,0.206,0.324,0.75,0.696,19,21,17,11,36,35,10,6,5,6,21,21,101,99
22400202,1610612749,1610612738,W,L,0.407,0.481,0.38,0.406,0.889,0.762,27,21,8,5,34,36,5,9,2,8,16,18,113,107
22400203,1610612754,1610612752,L,W,0.554,0.511,0.28,0.457,0.815,0.84,23,27,8,5,31,27,5,6,3,4,20,22,121,132
22400204,1610612753,1610612764,L,W,0.458,0.451,0.303,0.354,0.72,0.88,20,25,7,15,30,29,4,6,7,5,25,21,94,121
22400205,1610612755,1610612766,L,W,0.379,0.464,0.259,0.273,0.864,0.769,22,24,12,8,38,32,10,8,5,1,22,23,105,107
22400206,1610612750,1610612748,W,L,0.442,0.398,0.355,0.289,0.727,0.846,18,22,6,16,37,31,14,13,9,5,20,20,95,94
22400207,1610612760,1610612744,W,L,0.506,0.447,0.488,0.333,0.696,0.808,35,25,13,14,33,27,8,4,3,6,26,18,127,116
22400208,1610612743,1610612742,L,W,0.533,0.506,0.303,0.483,0.737,0.692,29,35,10,13,32,32,7,6,5,5,17,16,120,122
22400209,1610612756,1610612758,W,L,0.49,0.419,0.297,0.316,0.842,0.8,23,30,8,8,49,40,7,11,3,3,20,19,127,118
22400210,1610612757,1610612763,W,L,0.553,0.34,0.372,0.095,0.857,0.81,32,18,10,16,41,27,15,9,13,3,17,21,134,89
22400211,1610612747,1610612761,L,W,0.451,0.512,0.345,0.324,0.864,0.821,26,30,12,10,28,23,2,9,2,4,23,15,103,123
22400212,1610612741,1610612739,W,L,0.443,0.494,0.333,0.368,0.75,0.813,26,26,12,8,31,43,14,7,3,5,13,17,119,113
22400213,1610612745,1610612764,L,W,0.409,0.46,0.355,0.217,0.692,0.88,21,13,8,17,26,41,14,12,5,10,17,17,92,107
22400214,1610612740,1610612751,W,L,0.429,0.447,0.452,0.333,0.842,0.917,24,31,14,14,32,31,4,13,5,4,14,15,107,105
22400215,1610612760,1610612746,L,W,0.55,0.516,0.541,0.391,0.69,0.957,31,31,15,9,32,20,5,16,5,5,22,23,128,134
22400216,1610612759,1610612758,L,W,0.429,0.506,0.263,0.478,0.889,1.0,18,31,9,8,28,36,11,5,4,5,14,10,96,116
22400217,1610612753,1610612754,L,W,0.381,0.405,0.333,0.342,0.889,0.867,22,26,7,13,34,37,10,8,6,10,19,19,90,94
22400218,1610612751,1610612738,W,L,0.538,0.506,0.478,0.442,0.708,0.833,35,26,12,3,33,31,7,4,6,3,17,20,139,114
22400219,1610612752,1610612741,W,L,0.537,0.511,0.389,0.405,0.815,0.667,31,31,7,10,33,30,10,7,6,3,17,17,124,123
22400220,1610612755,1610612739,W,L,0.494,0.446,0.4,0.326,0.824,0.909,25,24,9,12,37,33,8,8,1,2,14,13,114,106
22400221,1610612760,1610612740,L,W,0.395,0.443,0.243,0.385,0.647,0.813,21,20,21,5,37,26,3,16,4,7,15,17,88,106
22400222,1610612745,1610612746,L,W,0.396,0.433,0.368,0.375,0.813,0.706,27,28,10,18,32,41,10,8,3,11,16,17,103,111
22400223,1610612749,1610612765,L,W,0.46,0.474,0.474,0.429,0.769,0.88,29,26,11,9,34,38,6,10,7,9,21,12,120,127
22400224,1610612759,1610612764,L,W,0.516,0.522,0.409,0.409,0.875,0.781,27,38,11,8,30,31,5,7,5,7,23,15,130,139
22400225,1610612747,1610612763,L,W,0.472,0.506,0.364,0.488,0.818,0.688,28,31,12,7,29,35,11,7,6,5,25,22,123,128
22400226,1610612757,1610612750,L,W,0.394,0.458,0.179,0.36,0.773,0.913,16,17,13,11,28,36,12,10,3,10,19,18,98,106
22400227,1610612758,1610612756,L,W,0.371,0.641,0.302,0.536,0.731,0.706,23,38,19,6,21,39,12,7,2,8,12,20,104,127
22400228,1610612762,1610612742,L,W,0.506,0.506,0.308,0.382,0.75,0.762,25,25,11,16,19,24,11,11,10,2,18,20,113,115
22400229,1610612766,1610612749,L,W,0.511,0.441,0.417,0.357,0.455,0.857,31,25,8,16,32,37,6,7,6,4,18,16,114,115
